 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
357460   61.6670   46.7830   56.0000  48503 34
289520   63.5500   53.2070  181.4000  48491 34
284400   60.8030   56.7430  232.9000  48934 34
239290   64.2170   60.3170   53.0000  46036 34
232260   64.0170   67.4830  172.0000  48588 34
417800   67.1610   24.9070   30.5000  45683 23
389270   67.3100   37.2870  313.0000  48347 34
384570   69.2810   41.2580  431.9000  48919 34
356710   67.7170   47.8000  346.0000  47471 34
350780   68.3670   51.8170  304.0000  47978 34
282750   68.2500   58.1500   50.0000  45827 23
239330   69.0860   61.0280   23.2000  48624 34
230320   66.8000   69.7170   25.0000  46872 34
619670   72.4000   -7.3000    4.3000  46747 34
432840   74.8900   12.9610  102.7000  46394 34
430030   72.8680   19.0890   11.3000  49004 34
426470   72.6350   23.0770   57.6000  48813 34
421650   73.3000   28.0000  224.0000  39506 26
420710   74.7970   31.7100  230.4000  45107 34
386180   71.7500   40.3670  603.5000  48560 34
353940   73.3340   49.6710  538.0000  48602 34
286980   73.3110   54.9670   94.8000  48516 34
283820   71.1830   57.6830   62.0000  42870 30
238490   73.4020   61.3440   61.0000  46739 34
433710   76.9500    8.4830   64.0000  47341 34
433440   78.7100   10.7650   87.8000  47526 34
431280   78.4610   17.4520  531.0000  48165 34
428670   79.0470   21.0920  314.9000  47495 34
421820   77.2060   28.5850  214.9000  47928 34
421010   76.4670   30.3330  251.0000  45618 34
517090   76.0200   39.5430 1380.4000  49269 34
517110   78.4500   40.9330 1986.0000  48786 34
357960   75.0830   46.8000  350.0000  48535 34
360030   77.0740   52.1950  125.0000  48941 34
291110   78.2330   59.2170   69.0000  48244 34
239550   77.8670   60.4330   48.0000  48808 34
232560   78.7330   67.4670    8.0000  47475 34
200690   76.9830   79.4830   10.0000  45226 32
432790   80.1810   12.9940   15.8000  48702 34
431850   81.1500   16.2000    3.0000  47499 34
426750   80.0520   23.1780  495.0000  41852 26
423690   80.8890   26.7610  125.0000  47704 34
552280   80.0830   32.5000 4280.0000  48123 34
516440   82.9500   41.7170 1100.0000  48971 34
512430   84.8500   45.6170  428.0000  49104 34
298380   83.5390   53.3640  255.1000  48915 34
292310   82.9500   58.3170   75.0000  48811 34
239660   84.0830   60.3500   99.0000  48064 34
206740   80.4000   73.5000   47.0000  48233 34
428090   88.4470   22.6550    4.9000  48495 34
555780   88.8830   29.2500 3837.0000  48253 34
554720   88.6330   30.9500 4670.0000  46552 33
517770   88.1670   39.0330  889.0000  48149 33
515730   89.2300   42.9500   39.3000  49121 34
510760   88.0830   47.7330  737.0000  49149 34
299560   89.9170   52.8000  455.0000  47995 34
293480   86.2170   57.0670  114.0000  47553 34
239730   89.6330   61.0330   49.0000  45792 25
234720   87.9890   65.7830   38.0000  48468 34
427240   91.2400   23.8870   14.0000  46500 34
555910   91.1330   29.6670 3650.0000  48461 34
560040   92.4330   34.2170 4535.0000  48937 34
526020   93.3830   38.8330 2771.0000  49111 34
522030   93.5170   42.8170  739.0000  49054 34
512880   90.5330   45.3670 1651.0000  48232 33
297660   92.1330   54.3670  282.0000  48313 34
292630   92.1500   58.4500   78.0000  48434 34
238840   90.0170   61.6000   58.0000  47883 34
233830   93.4670   66.8830  278.0000  40789 25
200870   90.5670   79.5500    8.0000  47964 34
485650   98.3170    8.1130   25.0000  49482 34
485000   99.8050   11.7880    3.0000  48736 34
483270   98.9630   18.7670  315.8000  49567 34
567390   98.5000   24.9830 1696.9000  49106 34
564440   98.8830   28.4500 3320.0000  48848 34
560290   96.9500   33.0170 3682.0000  49141 34
527130   95.3670   37.8500 3174.0000  49109 34
523230   97.0330   41.8000 1770.0000  49129 34
442770   96.2500   46.4000 2181.0000  48171 34
442030   99.6670   51.1170 1583.0000  46456 34
295810   95.6330   56.2000  207.0000  48212 34
486980  103.9940    1.3500    6.7000  49569 34
485690  100.3930    6.9330   27.4000  49509 34
484560  100.6070   13.9130    2.7000  48925 34
484070  104.8700   15.2510  123.7000  48925 34
567780  102.7440   24.9920 1894.9000  49354 34
567510  100.1830   25.7000 1992.0000  49078 34
560960  104.9170   33.4000 1079.0000  48988 34
528660  101.7670   36.6170 2262.0000  49088 34
524950  104.5000   40.7500 1329.0000  48341 34
442880  102.7830   46.2670 1813.0000  48085 34
307100  104.3890   52.2680  510.5000  48914 34
303090  101.6980   56.3710  490.7000  48702 34
208910  102.4670   71.9830   33.0000  46403 34
